Date;Irradiance;Temperature
01.01.2019;302;2.8
02.01.2019;526;0.6
03.01.2019;760;-2.5
04.01.2019;978;-1.7
05.01.2019;293;-0.5
06.01.2019;506;0.6
07.01.2019;493;0.8
08.01.2019;295;1.1
09.01.2019;484;-0.4
10.01.2019;521;-2.0
11.01.2019;883;-2.5
12.01.2019;573;0.1
13.01.2019;148;2.5
14.01.2019;511;2.7
15.01.2019;1037;1.0
16.01.2019;1267;0.6
17.01.2019;249;3.6
18.01.2019;1184;-1.6
19.01.2019;1136;-4.4
20.01.2019;910;-4.2
21.01.2019;1037;-2.2
22.01.2019;327;-2.8
23.01.2019;988;-3.9
24.01.2019;352;-3.3
25.01.2019;1320;-3.4
26.01.2019;631;0.8
27.01.2019;872;3.0
28.01.2019;1029;-0.1
29.01.2019;1799;-0.5
30.01.2019;1058;-0.5
31.01.2019;966;-2.3
01.02.2019;476;0.6
02.02.2019;598;0.7
03.02.2019;348;-0.5
04.02.2019;930;-2.8
05.02.2019;1212;-4.1
06.02.2019;1143;-4.6
07.02.2019;785;-1.1
08.02.2019;1849;2.9
09.02.2019;1117;6.5
10.02.2019;699;6.4
11.02.2019;1195;1.2
12.02.2019;1432;1.2
13.02.2019;2153;0.8
14.02.2019;2216;2.5
15.02.2019;2336;3.5
16.02.2019;2429;4.3
17.02.2019;2508;5.3
18.02.2019;2477;5.3
19.02.2019;2253;7.7
20.02.2019;2310;6.1
21.02.2019;2468;7.3
22.02.2019;1317;7.5
23.02.2019;2224;3.8
24.02.2019;2829;2.7
25.02.2019;2791;5.8
26.02.2019;2808;7.0
27.02.2019;2839;8.3
28.02.2019;2773;10.4
01.03.2019;784;6.1
02.03.2019;1405;6.3
03.03.2019;2556;9.1
04.03.2019;851;7.5
05.03.2019;2191;6.2
06.03.2019;2266;6.2
07.03.2019;1744;7.4
08.03.2019;1479;5.9
09.03.2019;1547;8.0
10.03.2019;1235;9.0
11.03.2019;1362;1.9
12.03.2019;3110;4.5
13.03.2019;2078;3.6
14.03.2019;805;2.9
15.03.2019;745;7.1
16.03.2019;3748;11.3
17.03.2019;1771;8.5
18.03.2019;2252;2.7
19.03.2019;3238;1.9
20.03.2019;4109;3.4
21.03.2019;4178;5.6
22.03.2019;4107;7.8
23.03.2019;4223;9.9
24.03.2019;4184;10.1
25.03.2019;3123;5.8
26.03.2019;3050;3.4
27.03.2019;3044;4.4
28.03.2019;4430;7.3
29.03.2019;4498;8.9
30.03.2019;4535;10.2
31.03.2019;4477;11.2
01.04.2019;4444;10.6
02.04.2019;3975;11.9
03.04.2019;3748;8.5
04.04.2019;826;1.3
05.04.2019;2171;3.7
06.04.2019;3774;6.9
07.04.2019;3500;9.0
08.04.2019;3187;9.4
09.04.2019;2217;8.7
10.04.2019;1122;7.5
11.04.2019;1592;7.0
12.04.2019;3491;5.7
13.04.2019;2905;4.5
14.04.2019;870;1.2
15.04.2019;3685;7.0
16.04.2019;4053;10.0
17.04.2019;4176;11.9
18.04.2019;5425;13.2
19.04.2019;5158;14.6
20.04.2019;5504;15.2
21.04.2019;4576;15.4
22.04.2019;4332;15.3
23.04.2019;3895;15.8
24.04.2019;4729;14.5
25.04.2019;4404;13.1
26.04.2019;1379;6.3
27.04.2019;2621;7.5
28.04.2019;3961;5.3
29.04.2019;2545;6.4
30.04.2019;1801;8.1
01.05.2019;5571;10.2
02.05.2019;3901;10.6
03.05.2019;2016;8.1
04.05.2019;2109;5.5
05.05.2019;2523;3.5
06.05.2019;3730;5.1
07.05.2019;5571;7.8
08.05.2019;1373;8.2
09.05.2019;4268;9.9
10.05.2019;3849;11.1
11.05.2019;2449;9.9
12.05.2019;3824;7.9
13.05.2019;4295;8.5
14.05.2019;5780;8.5
15.05.2019;4307;7.5
16.05.2019;4142;8.0
17.05.2019;5688;11.8
18.05.2019;4185;13.5
19.05.2019;4238;12.9
20.05.2019;708;10.8
21.05.2019;1144;10.6
22.05.2019;5012;13.5
23.05.2019;6741;14.3
24.05.2019;6127;15.6
25.05.2019;3146;13.6
26.05.2019;5774;15.2
27.05.2019;4853;16.2
28.05.2019;2312;11.3
29.05.2019;3435;10.4
30.05.2019;6188;12.6
31.05.2019;6375;16.6
01.06.2019;6878;19.1
02.06.2019;6979;21.1
03.06.2019;6071;21.0
04.06.2019;6587;22.4
05.06.2019;6688;23.3
06.06.2019;2595;12.8
07.06.2019;5571;15.1
08.06.2019;6721;16.3
09.06.2019;2351;13.8
10.06.2019;1516;13.9
11.06.2019;2396;13.7
12.06.2019;5105;14.6
13.06.2019;5702;17.4
14.06.2019;5533;19.6
15.06.2019;5195;18.3
16.06.2019;4495;16.0
17.06.2019;6074;18.6
18.06.2019;6063;20.7
19.06.2019;6701;22.3
20.06.2019;3286;17.7
21.06.2019;4030;18.1
22.06.2019;1879;16.4
23.06.2019;6093;19.4
24.06.2019;6901;22.6
25.06.2019;6662;24.8
26.06.2019;6624;27.1
27.06.2019;6496;27.3
28.06.2019;6767;24.3
29.06.2019;7023;24.0
30.06.2019;6761;26.6
01.07.2019;6221;26.6
02.07.2019;5908;21.3
03.07.2019;5956;20.4
04.07.2019;6781;21.0
05.07.2019;6949;23.0
06.07.2019;4303;21.0
07.07.2019;4341;19.9
08.07.2019;4207;17.6
09.07.2019;5764;17.1
10.07.2019;6851;16.4
11.07.2019;2931;16.0
12.07.2019;3680;16.8
13.07.2019;5483;17.1
14.07.2019;5758;17.1
15.07.2019;4389;17.2
16.07.2019;6700;19.5
17.07.2019;6622;20.6
18.07.2019;5537;21.0
19.07.2019;6080;22.4
20.07.2019;5633;23.5
21.07.2019;4771;22.1
22.07.2019;5818;23.6
23.07.2019;6476;24.9
24.07.2019;6327;26.9
25.07.2019;6066;27.4
26.07.2019;5866;27.0
27.07.2019;4265;20.7
28.07.2019;1348;16.3
29.07.2019;5196;19.1
30.07.2019;5944;21.3
31.07.2019;4180;18.2
