Category,Name,Full name,,Latex_symbol,Latex_value,Latex_unit,Latex_source,Value,Units,Source,Description,Symbol,Uncertainty
AD,Biomass_water,Biomass water content,,$f_{AD_{Water/BM}}$,$0.93$,$-$,\cite{fujishima_2000},0.93,-,fujishima 2000,Water fraction of the digestate,f_{AD_{Water/BM}},
AD,Cap_V_ratio,Cap volume ratio,,$f_{AD_{V_{cap}/V_{dig}}$,$0.4$,$-$,\cite{hreiz_2017},0.4,-,hreiz 2017,Ratio of the cap volume over the digestate volume,f_{AD_{V_{cap}/V_{dig}},
AD,Cap_abs,Cap absorptance,,$\alpha_{AD_{cap}}$,$0.9$,$-$,\cite{hreiz_2017},0.9,-,hreiz 2017,Solar Irradiance absorption coefficient for a black painted cap,\alpha_{AD_{cap}},
AD,Cap_h_ratio,Cap height ratio,,$f_{AD_{cap_{rad/h}}}$,$2.2$,$-$,\cite{hreiz_2017},2.2,-,hreiz 2017,Ratio of the cap raius over the cap height,f_{AD_{cap_{rad/h}}},
AD,Cyl_fill,Cylinder fill,,$f_{AD_{V_{cyl}/V_{dig}}}$,$0.9$,$-$,\cite{hreiz_2017},0.9,-,hreiz 2017,Ratio of the cylinder volume over the digestate volume,f_{AD_{V_{cyl}/V_{dig}}},
AD,Eff,Efficiency,,$\eta_{AD}$,$0.37$,$-$,\cite{Thees_2017},0.37,-,Thees 2017,AD efficiency,\eta_{AD},0.05
AD,Elec_cons,Electric consumption,,$f_{AD_{EL/BG}}$,$0.008$,$-$,\cite{Carlini_2017},0.008,-,Carlini 2017,AD faction of electricity consumed,f_{AD_{EL/BG}},0.1
AD,Ground_losses,Ground heat losses,,$U_{AD_{ground}}$,$0.06208$,$kW/m^2$,\cite{hreiz_2017},0.06208,kW/m^2,hreiz 2017,Steady state heat losses to the ground,U_{AD_{ground}},
AD,Heat_cons,Heat consumption,,$f_{AD_{Q/BG}}$,$0.32$,$-$,\cite{Thees_2017},0.32,-,Thees 2017,Fraction of heat self consumed relative to the biogas procued,f_{AD_{Q/BG}},0.1
AD,Heating_part_load,Heater part load,,"$f_{AD, Q_{min}}$",$0.2$,$-$,Setting,0.2,-,Setting,Lowest load fraction acceptable before shutting down the heating system,"f_{AD, Q_{min}}",
AD,LSU,Number of LSU,,$LSU_{farm}$,$139$,$LSU$,\cite{SFF},139,LSU,SFF,Number of Livestock Units on the farm,LSU_{farm},
AD,Manure_HHV_dry,Manure HHV,,$HHV_{BM}$,$3.694444$,$kWh/kg-dry$,\cite{Carlini_2017},3.694444444,kWh/kg-dry,Carlini 2017,Fresh cattle manure energy content HHV dry basis,HHV_{BM},
AD,Manure_per_cattle,Manure per cattle,,$f_{BM/LSU}$,$7.3$,$kg-dry/day/LSU$,\cite{Carlini_2017},7.3,kg-dry/day/LSU,Carlini 2017,Cattle manure production dry basis,f_{BM/LSU},
AD,Residence_time,Residence time,,"$t_{AD, resid}$",$30$,$day$,\cite{hreiz_2017},30,day,hreiz 2017,AD Hydraulic Residence Time,"t_{AD, resid}",
AD,T_max,Max temperature,,"$T_{AD,max}$",$40$,$C^\circ$,\cite{hreiz_2017},40,C,hreiz 2017,Maximum allowed temperature for the digester,"T_{AD,max}",
AD,T_min,Min temperature,,"$T_{AD,min}$",$39$,$C^\circ$,\cite{hreiz_2017},39,C,hreiz 2017,Minimum allowed temperature for the digester,"T_{AD,min}",
AD,U_cap,Cap heat conductivity,,$U_{AD_{cap}}$,$0.00208$,$kW/C^\circ/m^2$,\cite{teleszewski_2018},0.00208,kW/C/m^2,teleszewski 2018,AD heat transmittance,U_{AD_{cap}},
AHP,COP,Coefficient of Performance,,$COP_{AHP}$,$3$,$-$,\cite{energyscope},3,-,energyscope,Coefficient of Performance,COP_{AHP},0.25
BAT,Eff,Efficiency,,$\eta{BAT}$,$0.9$,$-$,\cite{Paul_PHD},0.9,-,Paul PHD,BAT roundtrip efficiency,\eta{BAT},0.05
BAT,Self_discharge,Self dischanrge rate,,$r_{BAT_{sd}}$,$0.003$,$-$,None,0.003,-,none,Constant hourly self discharge,r_{BAT_{sd}},0.1
BS,Elec_fan,Electric consumption,,$f^{fan}_{BS_{EL/BG}}$,$0.063186$,$-$,\cite{Hahn_2014},0.063186,-,Hahn 2014,Electricity consumed for the fan in kW-el/MW-th storage capacity ,f^{fan}_{BS_{EL/BG}},0.1
BS,Self_discharge,Self dischanrge rate,,$r_{BS_{sd}}$,$0.000416$,$-$,\cite{Hahn_2014},0.000416,-,Hahn 2014,Biogas loss in per cent of gas stored per hour,r_{BS_{sd}},0.1
BU,Eff,Efficiency,,$r_{BS_{sd}}$,$0.95$,$-$,\cite{Chen_2015},0.95,-,Chen 2015,Fraction of methane recovered during upgrading (average),r_{BS_{sd}},0.1
BU,Elec_comp,Electric consumption,,$f^{fan}_{BS_{EL/BG}}$,$0.045529$,$-$,\cite{Chen_2015},0.045529412,-,Chen 2015,Fraction of electricity consumed per kWh-th biomethane (pessimist),f^{fan}_{BS_{EL/BG}},0.1
CGT,Elec_comp,Electric consumption,,$f^{comp}_{CGT_{EL/NG}}$,$0.02$,$-$,\cite{Sinor_1991},0.02,-,Sinor 1991,Fraction of energy requiered to compress natural gas to 2500 psig,f^{comp}_{CGT_{EL/NG}},0.1
EH,Eff,Efficiency,,$\eta_{EH}$,$0.99$,$-$,\cite{Paul_PHD},0.99,-,Paul PHD,Electric Heater efficiency,\eta_{EH},0.01
Farm,Export_CO2,Emissions deduction for export,,$f^{sell}_{CO_2}$,$0.95$,$-$,Setting,0.95,-,Setting,Share of emissions reduction for exporting a resource,f^{sell}_{CO_2},0.1
Farm,Ground_area,Buildings ground area,,"$A_{b, ground}$",$6601$,$m^2$,\cite{geo.admin.ch},6601,m^2,geo.admin.ch,Building ground surface area,"A_{b, ground}",0
Farm,Temp_tractors,Tractor operating temperature,,"$T_{ext, tractors}$",$5$,$C^\circ$,None,5,C,none,Temperature treshold for using tractors,"T_{ext, tractors}",0
Farm,cons_Diesel_annual,Annual diesel consumption,,$\dot{E}^{+ diesel}_{tractors}$,$8000$,$l/year$,\cite{SFF},8000,l/year,SFF,Annual diesel consumption for tractors,\dot{E}^{+ diesel}_{tractors},0
Farm,cons_Elec_annual,Annual electric consumption,,$E^{+ el}_{b}$,$787000$,$kWh/year$,\cite{SFF},787000,kWh/year,SFF,Annual electric consumption,E^{+ el}_{b},0
Farm,cons_Heat_annual,Annual heat consumption,,"$\dot{Q}^+_{b, real}$",$1650000$,$kWh/year$,\cite{SFF},1650000,kWh/year,SFF,Annual heat consumption,"\dot{Q}^+_{b, real}",0
Farm,i,Annual interest rate,,$i$,$0.025$,$-$,\cite{Nils_PdS},0.025,-,Nils PdS,Annual interest rate,i,0.1
Farm,nbr_tractors,Number of tractors,,$N_{tractors}$,$4$,$Tractor$,\cite{SFF},4,Tractor,SFF,Number of tractors in poteration,N_{tractors},0
GBOI,Eff,Efficiency,,$\eta_{GBOI}$,$0.98$,$-$,\cite{energyscope},0.98,-,energyscope,Gas Boiler efficiency,\eta_{GBOI},0.01
GCSOFC,Elec_cons,Electric consumption,,$f_{GCSOFC_{EL/BG}}$,$0.015$,$-$,\cite{Nils_PdS},0.015,-,Nils PdS,GCSOFC Elec cons relative to Biogas throughput,f_{GCSOFC_{EL/BG}},0.1
GFS,Conversion_cost,Conversion cost,,$c^{convert}_{GFS}$,$48$,$kCHF/Tractor$,\cite{omnitekcorp.com},48,kCHF/Tractor,omnitekcorp.com,Conversion cost of one tractor from diesel to cng,c^{convert}_{GFS},0.5
