Technology,Cost_per_size,Cost_per_unit,Cost_multiplier,Life,Maintenance,LCA,Size_units,Source
BAT,970,620,1.33,10,0.02,0.1,kWh,Paul regression et https://4thgeneration.energy/emissions-of-grid-scale-storage/
GBOI,105,3800,1.8,20,0.05,0.02,kW,Paul
WBOI,494,0,1,20,0.035,0.02,kW,energyscope
AHP,1240,5680,1.8,20,0.02,0.02,kW,Paul
SOFC,2100,15542,1.8,10,0.05,0.02,kW,Paul regression
PV,2656,2495,1.33,20,0.02,0.02,kW,Paul regression
AD,1500,5000,1.8,20,0.1,0.02,kW,semester project and IEA
GC,2800,3000,1.8,20,0.02,0.02,kW,W2W work group 2
CGT,0.923,71600,1.8,25,0.02,0.02,kWh,DOI: 10.2172/1156975
GCSOFC,23.4,467,1,10,0.03,0.02,kW,semester project nils
EH,13,968,1,20,0.02,0.02,kW,Paul regression
ICE,2000,0,1,20,0.025,0.02,kW,Samuel Majerus PdM
