Date,Irradiance,Temperature
01.01.2019 00:00,0,3
01.01.2019 00:10,0,3
01.01.2019 00:20,0,2.9
01.01.2019 00:30,0,2.9
01.01.2019 00:40,0,2.9
01.01.2019 00:50,0,2.9
01.01.2019 01:00,0,3
01.01.2019 01:10,0,2.9
01.01.2019 01:20,0,3
01.01.2019 01:30,0,3
01.01.2019 01:40,0,2.9
01.01.2019 01:50,0,2.9
01.01.2019 02:00,0,2.8
01.01.2019 02:10,0,2.7
01.01.2019 02:20,0,2.6
01.01.2019 02:30,0,2.6
01.01.2019 02:40,0,2.5
01.01.2019 02:50,0,2.6
01.01.2019 03:00,0,2.6
01.01.2019 03:10,0,2.6
01.01.2019 03:20,0,2.5
01.01.2019 03:30,0,2.3
01.01.2019 03:40,0,1.9
01.01.2019 03:50,0,1.8
01.01.2019 04:00,0,1.6
01.01.2019 04:10,0,1.6
01.01.2019 04:20,0,1.7
01.01.2019 04:30,0,1.8
01.01.2019 04:40,0,1.9
01.01.2019 04:50,0,2
01.01.2019 05:00,0,2.1
01.01.2019 05:10,0,2
01.01.2019 05:20,0,2.1
01.01.2019 05:30,0,2.2
01.01.2019 05:40,0,2.3
01.01.2019 05:50,0,2.3
01.01.2019 06:00,0,2.3
01.01.2019 06:10,0,2.3
01.01.2019 06:20,0,2.2
01.01.2019 06:30,0,2.2
01.01.2019 06:40,0,2.2
01.01.2019 06:50,0,2.3
01.01.2019 07:00,0,2.3
01.01.2019 07:10,0,2.3
01.01.2019 07:20,0,2.3
01.01.2019 07:30,1,2.4
01.01.2019 07:40,1,2.4
01.01.2019 07:50,1,2.4
01.01.2019 08:00,2,2.4
01.01.2019 08:10,2,2.5
01.01.2019 08:20,3,2.5
01.01.2019 08:30,6,2.5
01.01.2019 08:40,7,2.6
01.01.2019 08:50,4,2.5
01.01.2019 09:00,2,2.5
01.01.2019 09:10,1,2.5
01.01.2019 09:20,3,2.5
01.01.2019 09:30,5,2.5
01.01.2019 09:40,4,2.5
01.01.2019 09:50,5,2.4
01.01.2019 10:00,6,2.5
01.01.2019 10:10,9,2.6
01.01.2019 10:20,9,2.6
01.01.2019 10:30,11,2.7
01.01.2019 10:40,11,2.8
01.01.2019 10:50,13,2.8
01.01.2019 11:00,13,2.9
01.01.2019 11:10,6,2.9
01.01.2019 11:20,8,3
01.01.2019 11:30,9,3.1
01.01.2019 11:40,17,3.2
01.01.2019 11:50,16,3.4
01.01.2019 12:00,21,3.5
01.01.2019 12:10,19,3.6
01.01.2019 12:20,16,3.6
01.01.2019 12:30,19,3.6
01.01.2019 12:40,22,3.7
01.01.2019 12:50,10,3.7
01.01.2019 13:00,6,3.5
01.01.2019 13:10,7,3.5
01.01.2019 13:20,6,3.4
01.01.2019 13:30,2,3.4
01.01.2019 13:40,2,3.4
01.01.2019 13:50,2,3.4
01.01.2019 14:00,1,3.3
01.01.2019 14:10,1,3.3
01.01.2019 14:20,1,3.2
01.01.2019 14:30,1,3.2
01.01.2019 14:40,2,3.3
01.01.2019 14:50,1,3.3
01.01.2019 15:00,1,3.3
01.01.2019 15:10,0,3.3
01.01.2019 15:20,0,3.2
01.01.2019 15:30,0,3.2
01.01.2019 15:40,0,3.1
01.01.2019 15:50,0,3
01.01.2019 16:00,0,3.1
01.01.2019 16:10,0,3.1
01.01.2019 16:20,0,3.2
01.01.2019 16:30,0,3.2
01.01.2019 16:40,0,3.1
01.01.2019 16:50,0,3.1
01.01.2019 17:00,0,3
01.01.2019 17:10,0,3
01.01.2019 17:20,0,3
01.01.2019 17:30,0,3
01.01.2019 17:40,0,3
01.01.2019 17:50,0,3
