Date,Temperature,Irradiance
01.01.2010 00:00,2.2,0
01.01.2010 01:00,2.1,0
01.01.2010 02:00,2.4,0
01.01.2010 03:00,2.7,0
01.01.2010 04:00,2.3,0
01.01.2010 05:00,2.1,0
01.01.2010 06:00,2,0
01.01.2010 07:00,2.1,5
01.01.2010 08:00,2.2,22
01.01.2010 09:00,2.1,40
01.01.2010 10:00,2.4,53
01.01.2010 11:00,2.9,76
01.01.2010 12:00,3,81
01.01.2010 13:00,3.4,45
01.01.2010 14:00,3.2,31
01.01.2010 15:00,3.5,4
01.01.2010 16:00,3.4,0
01.01.2010 17:00,3.3,0
01.01.2010 18:00,2.2,0
01.01.2010 19:00,0.8,0
01.01.2010 20:00,0.3,0
01.01.2010 21:00,0.2,0
01.01.2010 22:00,-0.1,0
01.01.2010 23:00,-0.7,0
02.01.2010 00:00,-1.2,0
02.01.2010 01:00,-1.5,0
02.01.2010 02:00,-1.8,0
02.01.2010 03:00,-2.1,0
02.01.2010 04:00,-2.2,0
02.01.2010 05:00,-2.3,0
02.01.2010 06:00,-2.5,0
02.01.2010 07:00,-2.6,2
02.01.2010 08:00,-2.7,38
02.01.2010 09:00,-2.5,80
02.01.2010 10:00,-2.4,112
02.01.2010 11:00,-1.7,279
02.01.2010 12:00,-0.9,278
02.01.2010 13:00,-1.3,137
02.01.2010 14:00,-1.7,57
02.01.2010 15:00,-2.6,15
02.01.2010 16:00,-3.2,1
02.01.2010 17:00,-4.1,0
02.01.2010 18:00,-4.1,0
02.01.2010 19:00,-4.1,0
02.01.2010 20:00,-4.6,0
02.01.2010 21:00,-5.3,0
02.01.2010 22:00,-5.2,0
02.01.2010 23:00,-5,0
03.01.2010 00:00,-4.9,0
03.01.2010 01:00,-5,0
03.01.2010 02:00,-4.9,0
03.01.2010 03:00,-5.3,0
03.01.2010 04:00,-6.2,0
03.01.2010 05:00,-6.4,0
03.01.2010 06:00,-6.3,0
03.01.2010 07:00,-6.5,8
03.01.2010 08:00,-6.5,67
03.01.2010 09:00,-5,183
03.01.2010 10:00,-3,296
03.01.2010 11:00,-2.3,331
03.01.2010 12:00,-1.5,315
03.01.2010 13:00,-1.5,252
03.01.2010 14:00,-1.5,150
03.01.2010 15:00,-2.8,13
03.01.2010 16:00,-4.1,0
03.01.2010 17:00,-4.6,0
03.01.2010 18:00,-5.1,0
03.01.2010 19:00,-5.6,0
03.01.2010 20:00,-5.9,0
03.01.2010 21:00,-6.2,0
03.01.2010 22:00,-6.6,0
03.01.2010 23:00,-7.7,0
04.01.2010 00:00,-8,0
04.01.2010 01:00,-8.6,0
04.01.2010 02:00,-8.9,0
04.01.2010 03:00,-9,0
04.01.2010 04:00,-9.7,0
04.01.2010 05:00,-9.4,0
04.01.2010 06:00,-7.5,0
04.01.2010 07:00,-7.4,7
04.01.2010 08:00,-7.4,47
04.01.2010 09:00,-7.4,109
04.01.2010 10:00,-7,234
04.01.2010 11:00,-5.7,321
04.01.2010 12:00,-5.3,295
