Category,Name,Value,Units,Description,Source,,
AD,U_wall,0.1,-,Fraction of heat lost through walls other than the cap,doi: 10.12911/22998993/89660,unused,
AD,Cap_loss,0.9,-,Fraction of heat losses through the top cap,doi: 10.12911/22998993/89660,unused,
BOI,Tc,50,°C,Temperature at the boiler inlet,guess,unused,
BOI,Th,90,°C,Temperature at the boiler outlet,guess,unused,
build,Tc,50,°C,Return heating temperature of the Building,Marechal project,unused,
build,Th,65,°C,Supply heating temperature of the Building,Marechal project,unused,
AD,Tc,40,°C,Return heating temperature of the AD,guess,unused,
AD,Th,50,°C,Supply heating temperature of the AD,guess,unused,
build,T_amb,20,°C,Comfort indoor temperature,guess,unused,
Farm,tau,0.064147129,-,Annualization factor,calc,,
Eco,n,20,years,years of exploitation,unused/unit dependent,unused,
AD,T_mean,39,°C,Mean AD Temperature,guess,unused,
CO2,Tax,9.6E-05,MCHF/t-CO2,Taxe CO2 en suisse,admin.ch,,
Physical,LSU_pigs,0.5,-,LSU per Pigs,ec.europa.eu,,0
