,Value,Lower Bound,Upper Bound,Units,Description
size[BOI],476.5733082655599,0.0,10000.0,,
size[PV],60.0,0.0,10000.0,,
size[BAT],20.0,0.0,10000.0,,
size[SOFC],20.0,0.0,10000.0,,
size[AD],116.99999999999919,0.0,10000.0,,
install[BOI],1.0,0.0,1.0,,
install[PV],1.0,0.0,1.0,,
install[BAT],1.0,0.0,1.0,,
install[SOFC],1.0,0.0,1.0,,
install[AD],1.0,0.0,1.0,,
capex[BOI],96.91235526219083,0.0,10000.0,,
capex[PV],215.26715000000004,0.0,10000.0,,
capex[BAT],26.6266,0.0,10000.0,,
capex[SOFC],103.57560000000001,0.0,10000.0,,
capex[AD],324.8999999999978,0.0,10000.0,,
min_T_AD,30.0,-10000.0,10000.0,,
max_T_AD,40.0,-10000.0,10000.0,,
penalty,3.620508613031688e-05,0.0,10000.0,,
grid_export_a[Elec],0.04999438814603528,0.0,10000.0,,
grid_export_a[Gas],0.0,0.0,10000.0,,
grid_import_a[Elec],1.7473035925573985,0.0,10000.0,,
grid_import_a[Gas],12.708621553748264,0.0,10000.0,,
capex,0.7672817052621888,0.0,10000.0,MCHF,total CAPEX
opex,0.0014320430354619542,0.0,10000.0,MCHF/year,total annual opex
totex,0.05065096135852281,0.0,10000.0,MCHF/year,total annualized expenses
