,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],0.0,178.91897375854802,698.6864541376647,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,177.74284343885208,745.1348622400454,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],0.0,21.056016292867966,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,16.294609589041094,112.14000000000001,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],0.0,5.772620190093635,17.774549477028373,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,3.5597824505577425,10.96097217750083,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,0.0,0.0,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],0.0,10.12740384226954,31.1834201351375,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],31.183420135137496,31.183420135137506,31.183420135137496,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],103.94473378379166,103.94473378379166,103.94473378379166,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.24946736108109996,0.2494673610810999,0.24946736108109996,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],0.0,7.0948392104625855,28.06507815034251,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_T[AD],30.0,32.97065971184139,40.0,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,-2.8718766809099346e-08,175.38391699864317,683.633089926376,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],-1.647348000521954e-09,9.933191768317469,39.214135177421255,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],0.0,0.49477031910061503,2.4147772787101633,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],0.0,0.12707115703493102,0.6287364537763394,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],0.0,0.11568429747838493,0.9431046806645091,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
bat_SOC,0.0,0.0,0.0,8760,0.0,10000.0,,,
bat_charge,0.0,0.00022831050228310502,1.0,8760,0.0,1.0,,,
bat_discharge,-0.0,0.9997716894977169,1.0,8760,0.0,1.0,,,
heat_loss_biomass,8.174901620370354,8.174901620370353,8.174901620370354,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,15.999999999994543,17.499792751808787,28.33317209461919,8760,-10000.0,10000.0,°C,Interior temperature of the building,
penalty_t,1.100346044188389e-09,0.00011311558230396101,0.0002751057627854567,8760,0.0,10000.0,,,
comfort_delta_T,-8.33317209461919,2.5002072481912125,4.000000000005457,8760,-10000.0,10000.0,,,
comfort_delta_T_abs,3.333035577668397e-05,3.4263608452908745,8.33317209461919,8760,0.0,10000.0,,,
grid_export[Elec],0.0,295.68095135819556,10000.0,8760,0.0,10000.0,,,
grid_export[Gas],0.0,1141.552511415525,10000.0,8760,0.0,10000.0,,,
grid_import[Elec],0.0,363.7033715885437,10000.0,8760,0.0,10000.0,,,
grid_import[Gas],0.0,177.74284343885208,745.1348622400454,8760,0.0,10000.0,,,
