,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],1000.0,0.0,10000.0,kW,Installed capacity of BOI,unique
unit_size[PV],1000.0,0.0,10000.0,kW,Installed capacity of PV,unique
unit_size[BAT],1000.0,0.0,10000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],1000.0,0.0,10000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],1000.0,0.0,10000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],195.84,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],3535.7983500000005,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],1290.9246,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],3807.9756000000007,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],2709.0,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.9908925009826935,0.0,10000.0,,,
grid_export_a[Elec],2590.165133897786,0.0,10000.0,,,
grid_export_a[Gas],10000.0,0.0,10000.0,,,
grid_import_a[Elec],3186.041535115448,0.0,10000.0,,,
grid_import_a[Gas],1557.0273085243387,0.0,10000.0,,,
emissions,-1451.4163321452095,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,11.539538550000001,0.0,10000.0,MCHF,total CAPEX,
opex,0.08199894239783165,0.0,10000.0,MCHF/year,total annual opex,
totex,0.8222272073011146,0.0,10000.0,MCHF/year,total annualized expenses,
