,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],683.9061045996913,0.0,10000.0,kW,Installed capacity of BOI,unique
unit_size[PV],0.0,0.0,10000.0,kW,Installed capacity of PV,unique
unit_size[BAT],0.0,0.0,10000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],0.0,0.0,10000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],-4.2246143394497145e-07,0.0,10000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],0.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],0.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],0.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],-0.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],136.09825376934165,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],0.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],0.0,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],0.0,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],-1.140645871651423e-06,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,-26.6398759977601,-10000.0,10000.0,,,
max_T_AD,5271.747986595513,-10000.0,10000.0,,,
penalty,0.15324925653356494,0.0,10000.0,,,
grid_export_a[Elec],199.50067772176234,0.0,10000.0,,,
grid_export_a[Gas],7114.589047670047,0.0,10000.0,,,
grid_import_a[Elec],986.5006777048533,0.0,10000.0,,,
grid_import_a[Gas],2575.9404303597375,0.0,10000.0,,,
emissions,-719.5628818865666,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,0.13609825262869577,0.0,10000.0,MCHF,total CAPEX,
opex,3.469446951953614e-18,0.0,10000.0,MCHF/year,total annual opex,
totex,0.008730312131910003,0.0,10000.0,MCHF/year,total annualized expenses,
