,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],0.0,179.98245039875573,680.7144197054959,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,177.70207953109932,725.1659350931913,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],0.0,22.278420911962627,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,46.11265305753497,317.3486842759195,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,11.805980557149407,225.23318622957055,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,13.117756174610454,305.75098331714554,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],0.0,3.497599816224779,17.774549477028373,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,2.1568532200052815,10.96097217750083,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,0.0,0.0,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],0.0,6.136140028464528,31.1834201351375,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],0.0,31.137143370096776,31.1834201351375,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],0.0,103.79047790032257,103.94473378379166,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.0,0.24909714696077406,0.2494673610811,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],-1.962052920134738e-08,7.01558504409989,36.46131977911921,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_T[AD],29.999999999998174,32.62284049580516,40.000000000000696,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,0.0,175.12371857466115,680.7144197054959,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],0.0,9.985087389631971,39.046716235496966,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],-1.6881908490643094e-09,0.5084306133417618,3.137207246769345,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],0.0,0.060250195912662306,0.6287364537876704,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],-1.6996576230573543e-11,0.09520481110278058,0.9431046806645091,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
bat_SOC,0.0,387.10338574222556,1000.0,8760,0.0,10000.0,,,
bat_charge,0.0,0.18116438356164383,1.0,8760,0.0,1.0,,,
bat_discharge,-0.0,0.8188356164383561,1.0,8760,0.0,1.0,,,
heat_loss_biomass,0.0,8.16276991705245,8.174901620370356,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,15.999999999994543,17.49120316224372,28.000379792269648,8760,-10000.0,10000.0,°C,Interior temperature of the building,
penalty_t,0.0,0.00011201436120987339,0.00026411918058753044,8760,0.0,10000.0,,,
comfort_delta_T,-8.000379792269648,2.508796837756279,4.000000000005457,8760,-10000.0,10000.0,,,
comfort_delta_T_abs,0.0,3.393003983557616,8.000379792269648,8760,0.0,10000.0,,,
grid_export[Elec],0.0,1.0421936694027618,294.65764603908593,8760,0.0,10000.0,,,
grid_export[Gas],0.0,406.878499316129,10000.0,8760,0.0,10000.0,,,
grid_import[Elec],0.0,42.83299620846665,226.81794869786478,8760,0.0,10000.0,,,
grid_import[Gas],0.0,177.70207953109932,725.1659350931913,8760,0.0,10000.0,,,
