,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],0.0,178.9191180961263,680.7144197054959,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,177.742755033413,725.1659350931913,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],0.0,21.056265073393998,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,16.294609589041094,112.14000000000001,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],0.0,5.772478385193796,17.774549477028373,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,3.559695004202842,10.96097217750083,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,0.0,0.0,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],0.0,10.127155061743508,31.1834201351375,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],31.183420135137496,31.183420135137506,31.1834201351375,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],103.94473378379166,103.94473378379166,103.94473378379166,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.24946736108109996,0.2494673610810999,0.2494673610811,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],-2.1027091179348645e-10,7.090639141007436,36.46131977911921,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_T[AD],29.999999999998174,32.949014921228056,40.00000000000071,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,-4.164294653552502e-07,175.38817395932173,680.7144197054959,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],-2.3886967419995275e-08,9.933125732960702,39.046716235496966,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],0.0,0.49488179123905934,3.137207246769345,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],-1.4441663400516875e-08,0.12738137751666154,0.6287364537884008,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],-1.80921434621547e-11,0.11521144269083598,0.9431046848651481,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
bat_SOC,0.0,0.0,0.0,8760,0.0,10000.0,,,
bat_charge,0.0,0.00022831050228310502,1.0,8760,0.0,1.0,,,
bat_discharge,-0.0,0.9997716894977169,1.0,8760,0.0,1.0,,,
heat_loss_biomass,8.174901620370354,8.174901620370353,8.174901620370356,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,15.999999999994543,17.499933281272664,28.31564932269825,8760,-10000.0,10000.0,°C,Interior temperature of the building,
penalty_t,3.255654901069235e-08,0.0001131761961132073,0.0002745272777283032,8760,0.0,10000.0,,,
comfort_delta_T,-8.315649322698249,2.5000667187273375,4.000000000005457,8760,-10000.0,10000.0,,,
comfort_delta_T_abs,0.00098616373196289,3.4281968857236365,8.315649322698249,8760,0.0,10000.0,,,
grid_export[Elec],0.0,237.17697121125627,10000.0,8760,0.0,10000.0,,,
grid_export[Gas],0.0,1141.552511415525,10000.0,8760,0.0,10000.0,,,
grid_import[Elec],0.0,305.1995332465043,10000.0,8760,0.0,10000.0,,,
grid_import[Gas],0.0,177.742755033413,725.1659350931913,8760,0.0,10000.0,,,
