,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],0.0,178.9191144478221,680.7144197054959,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,177.74275097942044,725.1659350931913,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],0.0,21.05626507371525,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,39.93537233447489,274.83645000000007,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],0.0,5.7724783850106824,17.774549477028376,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,3.5596950040899213,10.960972177500832,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,0.0,0.0,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],0.0,10.127155061422258,31.183420135137503,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],31.183420135137496,31.183420135137506,31.183420135137503,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],103.94473378379166,103.94473378379166,103.94473378379168,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.24946736108109996,0.2494673610810999,0.24946736108110004,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],-2.1027091179348645e-10,7.088925636897975,36.46131977911921,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_T[AD],29.999999999998174,32.94018448685975,40.000000000000426,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,-1.0446653458950904e-07,175.38988381501406,680.7144197054959,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],-5.992344240316017e-09,9.933125523686755,39.046716235496966,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],0.0,0.49488179124235043,3.137207246769345,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],0.0,0.12747966646703196,0.6287364537884008,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],-1.80921434621547e-11,0.11506400925556445,0.9431046806645093,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
bat_SOC,0.0,0.0,0.0,8760,0.0,10000.0,,,
bat_charge,0.0,0.00022831050228310502,1.0,8760,0.0,1.0,,,
bat_discharge,-0.0,0.9997716894977169,1.0,8760,0.0,1.0,,,
heat_loss_biomass,8.174901620370354,8.174901620370353,8.174901620370356,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,15.999999999994543,17.499989726497763,28.31097322799483,8760,-10000.0,10000.0,°C,Interior temperature of the building,
penalty_t,6.940438097033321e-08,0.00011317000715206589,0.0002743729042693568,8760,0.0,10000.0,,,
comfort_delta_T,-8.310973227994829,2.5000102735022365,4.000000000005457,8760,-10000.0,10000.0,,,
comfort_delta_T_abs,0.0021023138333795544,3.428009417174245,8.310973227994829,8760,0.0,10000.0,,,
grid_export[Elec],0.0,272.6381173561525,9996.887314920561,8760,0.0,10000.0,,,
grid_export[Gas],0.0,1141.552511415525,10000.0,8760,0.0,10000.0,,,
grid_import[Elec],0.0,317.0199166461499,10000.0,8760,0.0,10000.0,,,
grid_import[Gas],0.0,177.74275097942044,725.1659350931913,8760,0.0,10000.0,,,
