,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],680.7144197054959,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],2450.8333333333335,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],0.0,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],17.774549477028376,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,100000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],0.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],135.4950253243387,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],8660.838083333334,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],0.0,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],95.16339702316726,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.9913692626520921,0.0,10000.0,,,
grid_export_a[Elec],2388.3099080399434,0.0,10000.0,,,
grid_export_a[Gas],10000.0,0.0,10000.0,,,
grid_import_a[Elec],2777.094469820074,0.0,10000.0,,,
grid_import_a[Gas],1557.0264985797212,0.0,10000.0,,,
emissions,-1478.338417939428,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,8.984691740045712,0.0,10000.0,MCHF,total CAPEX,
opex,-5.551115123125783e-17,0.0,10000.0,MCHF/year,total annual opex,
totex,0.5763421776882831,0.0,10000.0,MCHF/year,total annualized expenses,
