,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],0.0,266.12672624325654,662.96497681215,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,287.51404850776095,736.6277520135,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],0.0,8.182313984746385,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,0.9776765753424658,6.728400000000001,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,0.9589508216863786,20.41753455646679,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,1.0655009129848656,21.521971134543612,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],0.0,88.59528536836686,204.22620475847154,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,2.0661253090876617,10.96097217750083,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,149.55230156872042,358.2915872955641,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],0.0,5.878023638940717,31.1834201351375,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],0.0,21.280887398479077,31.1834201351375,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],0.0,70.93629132826356,103.94473378379166,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.0,0.17024709918783257,0.2494673610811,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],-5.5197233450599015e-09,4.179780828266201,662.96497681215,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_T[AD],29.99999999996719,30.918168008098952,34.70586851805238,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,0.0,264.013070724078,673.9259489951706,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],0.0,15.029134129493544,38.02858375627176,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],-4.749283948904322e-10,0.35439188596344234,57.0428756339327,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],0.0,0.11501906691631088,0.6287364537763394,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],0.0,0.00524508778795232,0.9431046806645091,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
bat_SOC,0.0,13.424809664371525,21.521971134543612,8760,0.0,10000.0,,,
bat_charge,0.0,0.8728310502283105,1.0,8760,0.0,1.0,,,
bat_discharge,0.0,0.1271689497716895,1.0,8760,0.0,1.0,,,
heat_loss_biomass,0.0,5.578899303630811,8.174901620370356,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,19.036101189677996,20.425590849854654,28.003495983638608,8760,-10000.0,10000.0,°C,Interior temperature of the building,
penalty_t,0.0,1.713281084530177e-05,0.0002642220564424641,8760,0.0,10000.0,,,
comfort_delta_T,-8.003495983638608,-0.4255908498546539,0.9638988103220032,8760,-10000.0,10000.0,,,
comfort_delta_T_abs,0.0,0.5189664505494146,8.003495983638608,8760,0.0,10000.0,,,
grid_export[Elec],0.0,0.348461242846024,27.778821378993136,8760,0.0,10000.0,,,
grid_export[Gas],0.0,0.10975899400685764,25.986183445947916,8760,0.0,10000.0,,,
grid_import[Elec],0.0,0.8924791380248545,205.95660475847154,8760,0.0,10000.0,,,
grid_import[Gas],0.0,287.51404850776095,736.6277520135,8760,0.0,10000.0,,,
