,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],662.96497681215,0.0,10000.0,kW,Installed capacity of BOI,unique
unit_size[PV],60.0,0.0,10000.0,kW,Installed capacity of PV,unique
unit_size[BAT],21.521971134543612,0.0,10000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],204.22620475847154,0.0,10000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],116.99999999999919,0.0,10000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],132.14038061749633,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],215.26715000000004,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],28.590094960674715,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],799.9506539870224,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],324.8999999999978,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.15008342300484348,0.0,10000.0,,,
grid_export_a[Elec],3.052520487331179,0.0,10000.0,,,
grid_export_a[Gas],0.961488787500073,0.0,10000.0,,,
grid_import_a[Elec],7.818117249097716,0.0,10000.0,,,
grid_import_a[Gas],2518.6230649279837,0.0,10000.0,,,
capex,1.5008482795651914,0.0,10000.0,MCHF,total CAPEX,
opex,0.20306430236778567,0.0,10000.0,MCHF/year,total annual opex,
totex,0.2993394101679688,0.0,10000.0,MCHF/year,total annualized expenses,
