,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],-5.494130164152011e-07,273.34755383668335,1000.0,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,298.9195019178061,1111.111111111111,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],-6.104589071280012e-07,4.800002345175381,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,8.147304794520547,56.07000000000001,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,0.9213496994815147,474.34164902525686,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,1.0237218883127943,500.0,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],0.0,495.33434768440287,1000.0,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,1.775575729729846,10.96097217750083,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,863.9562029653448,1754.3859649122808,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],0.0,5.051424551151767,31.1834201351375,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],0.0,19.669357578598436,31.18342266015901,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],0.0,65.56452526199477,103.94474220053004,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.0,0.15735486062878742,0.24946738128127208,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],-5.494130164152011e-07,3.9928344802423967,1000.0,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_T[AD],29.999999999951818,32.065491145419564,40.00000000004739,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,0.0,271.1302950861708,1010.9609721775008,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],0.0,15.450988157072551,57.361376673040255,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],-4.727263047549541e-08,0.3429057618113864,86.04206500956039,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],0.0,0.1014188268378459,0.6287364537763394,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],0.0,0.0006459621100441843,0.9431046806645091,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
bat_SOC,0.0,151.4576251561496,500.0,8760,0.0,10000.0,,,
bat_charge,0.0,0.004794520547945206,1.0,8760,0.0,1.0,,,
bat_discharge,-0.0,0.9952054794520548,1.0,8760,0.0,1.0,,,
heat_loss_biomass,0.0,5.156428077616291,8.174902282318351,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,16.0,20.660542450165423,35.10312644558042,8760,-10000.0,10000.0,°C,Interior temperature of the building,
penalty_t,6.529478791109886e-09,0.00010997475734979917,0.0004986045018726424,8760,0.0,10000.0,,,
comfort_delta_T,-15.103126445580422,-0.6605424501654219,4.0,8760,-10000.0,10000.0,,,
comfort_delta_T_abs,0.0001977830995016916,3.331222762405579,15.103126445580422,8760,0.0,10000.0,,,
grid_export[Elec],0.0,471.4198085794788,10000.0,8760,0.0,10000.0,,,
grid_export[Gas],0.0,2.1518543114282918,25.986183445947916,8760,0.0,10000.0,,,
grid_import[Elec],0.0,58.038065798417136,10000.0,8760,0.0,10000.0,,,
grid_import[Gas],0.0,298.9195019178061,1111.111111111111,8760,0.0,10000.0,,,
