,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],1000.0,0.0,10000.0,kW,Installed capacity of BOI,unique
unit_size[PV],500.0,0.0,10000.0,kW,Installed capacity of PV,unique
unit_size[BAT],500.0,0.0,10000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],1000.0,0.0,10000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],300.0,0.0,10000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],195.84,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],1769.5583500000002,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],645.8746000000001,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],3807.9756000000007,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],819.0,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.9633788743842406,0.0,10000.0,,,
grid_export_a[Elec],4129.637523156281,0.0,10000.0,,,
grid_export_a[Gas],18.850243768111785,0.0,10000.0,,,
grid_import_a[Elec],508.41345639411827,0.0,10000.0,,,
grid_import_a[Gas],2618.5348368000095,0.0,10000.0,,,
emissions,0.0,0.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,7.238248550000002,0.0,10000.0,MCHF,total CAPEX,
opex,-5.551115123125783e-17,0.0,10000.0,MCHF/year,total annual opex,
totex,0.4643128615489745,0.0,10000.0,MCHF/year,total annualized expenses,
