,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],0.0,268.21502301411056,662.4014710310736,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,282.8043286653863,736.0016344789707,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],0.0,15.212363572514285,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],11.348233597692863,92.80951460991618,226.96467195385725,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,1.1834720193596697,10.96097217750083,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],3.552713678800501e-15,159.45679086796198,398.18363500676713,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],0.0,3.366918973996215,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],0.0,24.37005642067938,31.183420135137496,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],0.0,81.23352140226457,103.94473378379166,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.0,0.19496045136543494,0.24946736108109996,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],0.0,5.439278589922824,662.4014710310736,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_T[AD],29.999999999999996,33.36279747122497,40.0,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,0.0,263.9592164435474,673.3624432085744,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],0.0,15.07339377715774,37.996260288589376,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],0.0,0.4676837809842275,56.99439043288407,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],0.0,0.06767026358114553,0.6287364537763394,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],0.0,0.0003229810550220921,0.943104680664509,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
bat_SOC,0.0,0.0,0.0,8760,0.0,10000.0,,,
bat_charge,0.0,0.00022831050228310502,1.0,8760,0.0,1.0,,,
bat_discharge,-0.0,0.9997716894977169,1.0,8760,0.0,1.0,,,
heat_loss_biomass,0.0,6.388741608796282,8.174901620370354,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,19.02550337282585,20.423813029070804,28.00336104214489,8760,-10000.0,10000.0,°C,Interior temperature of the building,
penalty_t,0.0,1.706094620572351e-05,0.0002642176015743611,8760,0.0,10000.0,,,
comfort_delta_T,-8.003361042144888,-0.42381302907080476,0.9744966271741511,8760,-10000.0,10000.0,,,
comfort_delta_T_abs,0.0,0.5167896135284089,8.003361042144888,8760,0.0,10000.0,,,
grid_export[Elec],0.0,2.790860277508052,215.36697099508328,8760,0.0,10000.0,,,
grid_export[Gas],0.0,0.05932918594965277,25.986183445947916,8760,0.0,10000.0,,,
grid_import[Elec],0.0,0.016488767359126695,0.2494673610810878,8760,0.0,10000.0,,,
grid_import[Gas],0.0,282.8043286653863,736.0016344789707,8760,0.0,10000.0,,,
