,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],662.4014710310736,0.0,10000.0,kW,Installed capacity of BOI,unique
unit_size[PV],0.0,0.0,10000.0,kW,Installed capacity of PV,unique
unit_size[BAT],0.0,0.0,10000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],226.96467195385725,0.0,10000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,10000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],0.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],0.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],132.0338780248729,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],0.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],0.0,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],885.9020599855804,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.14945388876213794,0.0,10000.0,,,
grid_export_a[Elec],24.4479360309706,0.0,10000.0,,,
grid_export_a[Gas],0.5197236689189585,0.0,10000.0,,,
grid_import_a[Elec],0.14444160206594858,0.0,10000.0,,,
grid_import_a[Gas],2477.3659191088177,0.0,10000.0,,,
emissions,445.3557078953317,0.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,1.1111311723753245,0.0,10000.0,MCHF,total CAPEX,
opex,0.1962369212105885,0.0,10000.0,MCHF/year,total annual opex,
totex,0.2675127955658362,0.0,10000.0,MCHF/year,total annualized expenses,
