,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],0.0,267.9621249311743,667.7481010704305,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,282.98719006374137,741.9423345227005,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],0.0,14.748504304230075,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,1.8217805847080435,22.69646719538572,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,2.024200649675604,23.92417705890423,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],0.0,90.70821488581036,204.51767211955263,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,1.3002947561541696,10.96097217750083,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,155.43794525394662,358.8029335430748,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],0.0,3.6992738439663433,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],0.0,23.897647957242594,31.183420135137496,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],0.0,79.65882652414194,103.94473378379166,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.0,0.19118118365794062,0.24946736108109996,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],0.0,5.325318903174,667.7481010704305,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_T[AD],30.0,33.39426162128235,39.99999999999978,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,0.0,263.9371007841544,678.7090732479313,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],0.0,15.065280532344115,38.30295034820832,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],0.0,0.45809377491186415,57.454425522312484,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],0.0,0.07451492372595567,0.6287364537763394,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],0.0,0.00010766035167403071,0.943104680664509,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
bat_SOC,0.0,11.835235292547054,23.924177058904263,8760,0.0,10000.0,,,
bat_charge,0.0,0.16986301369863013,1.0,8760,0.0,1.0,,,
bat_discharge,0.0,0.8301369863013699,1.0,8760,0.0,1.0,,,
heat_loss_biomass,0.0,6.264897184532041,8.174901620370354,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,19.020211363616543,20.42308295379118,28.00329365924543,8760,-10000.0,10000.0,°C,Interior temperature of the building,
penalty_t,0.0,1.7246320601319483e-05,0.0002642153770404448,8760,0.0,10000.0,,,
comfort_delta_T,-8.00329365924543,-0.42308295379118027,0.9797886363834558,8760,-10000.0,10000.0,,,
comfort_delta_T_abs,0.0,0.5224047512296207,8.00329365924543,8760,0.0,10000.0,,,
grid_export[Elec],0.0,0.7141905572768269,192.91997116077866,8760,0.0,10000.0,,,
grid_export[Gas],0.0,0.21338824691120364,25.986183445947916,8760,0.0,10000.0,,,
grid_import[Elec],0.0,0.23975956849377456,22.696467195385708,8760,0.0,10000.0,,,
grid_import[Gas],0.0,282.98719006374137,741.9423345227005,8760,0.0,10000.0,,,
