,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],667.7481010704305,0.0,10000.0,kW,Installed capacity of BOI,unique
unit_size[PV],0.0,0.0,10000.0,kW,Installed capacity of PV,unique
unit_size[BAT],23.92417705890423,0.0,10000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],204.51767211955263,0.0,10000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,10000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],0.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],133.04439110231135,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],0.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],31.68918082369235,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],801.052400611909,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.1510777684675587,0.0,10000.0,,,
grid_export_a[Elec],6.256309281745021,0.0,10000.0,,,
grid_export_a[Gas],1.8692810429421418,0.0,10000.0,,,
grid_import_a[Elec],2.1002938200054677,0.0,10000.0,,,
grid_import_a[Gas],2478.9677849583777,0.0,10000.0,,,
emissions,448.0205689797839,0.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,1.058981206902784,0.0,10000.0,MCHF,total CAPEX,
opex,0.1982088317083554,0.0,10000.0,MCHF/year,total annual opex,
totex,0.26613943551493763,0.0,10000.0,MCHF/year,total annualized expenses,
