,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],0.0,267.83371366295313,668.6546587537605,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,283.05571911168414,742.9496208375116,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],0.0,14.537296069374873,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,1.9594557152383272,22.696467195385708,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,2.177173016931475,23.924177058904235,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],0.0,90.72135261998548,204.51767211955263,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,1.3554571325751994,10.96097217750083,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,155.30405969582506,358.8029335430748,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],0.0,3.8562080585354175,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],0.0,23.819961169292597,31.183420135137496,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],0.0,79.39987056430864,103.94473378379166,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.0,0.19055968935434073,0.24946736108109996,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],0.0,5.2526411385960765,668.6546587537605,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_T[AD],29.999999999998167,33.12147349263169,40.0,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,0.0,263.93652965693235,679.6156309312613,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],0.0,15.062155355416113,38.35495174495765,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],0.0,0.45173276961562686,57.532427617436475,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],0.0,0.07760734001023967,0.6287364537763394,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],0.0,0.00021532070334806142,0.943104680664509,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
bat_SOC,0.0,11.54695011197234,23.924177058904235,8760,0.0,10000.0,,,
bat_charge,0.0,0.19029680365296803,1.0,8760,0.0,1.0,,,
bat_discharge,-0.0,0.8097031963470319,1.0,8760,0.0,1.0,,,
heat_loss_biomass,0.0,6.244531174455483,8.174901620370354,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,18.97467891453017,20.423064099916694,28.00271389675485,8760,-10000.0,10000.0,°C,Interior temperature of the building,
penalty_t,0.0,1.739104150299604e-05,0.0002641962371498493,8760,0.0,10000.0,,,
comfort_delta_T,-8.002713896754852,-0.4230640999166932,1.025321085469829,8760,-10000.0,10000.0,,,
comfort_delta_T_abs,0.0,0.526788462305494,8.002713896754852,8760,0.0,10000.0,,,
grid_export[Elec],0.0,0.48063726526505446,192.91997116077866,8760,0.0,10000.0,,,
grid_export[Gas],0.0,0.11478720679517262,25.986183445947916,8760,0.0,10000.0,,,
grid_import[Elec],0.0,0.0077442847288899585,22.696467195385708,8760,0.0,10000.0,,,
grid_import[Gas],0.0,283.05571911168414,742.9496208375116,8760,0.0,10000.0,,,
