,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],668.6546587537605,0.0,10000.0,kW,Installed capacity of BOI,unique
unit_size[PV],0.0,0.0,10000.0,kW,Installed capacity of PV,unique
unit_size[BAT],23.924177058904235,0.0,10000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],204.51767211955263,0.0,10000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,10000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],0.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],133.21573050446074,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],0.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],31.689180823692354,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],801.052400611909,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.1523455235662452,0.0,10000.0,,,
grid_export_a[Elec],4.210382443721872,0.0,10000.0,,,
grid_export_a[Gas],1.0055359315257126,0.0,10000.0,,,
grid_import_a[Elec],0.06783993422507603,0.0,10000.0,,,
grid_import_a[Gas],2479.5680994183144,0.0,10000.0,,,
emissions,448.28743701271054,0.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,1.0591525463049332,0.0,10000.0,MCHF,total CAPEX,
opex,0.1979845667862899,0.0,10000.0,MCHF/year,total annual opex,
totex,0.2659261615235591,0.0,10000.0,MCHF/year,total annualized expenses,
