,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],0.0,267.5802839450671,664.267398733155,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,283.675345446213,738.0748874812833,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],0.0,13.636081159417156,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,16.294609589041094,112.14000000000001,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],0.0,76.61755203629475,198.94820475847155,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,1.4795865938763246,10.96097217750083,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],-1.8118839761882555e-13,130.20740776246217,349.0319381727571,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],0.0,4.209350195949714,31.183420135137496,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],0.0,23.362544745537726,31.183420135137496,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],0.0,77.87514915179241,103.94473378379166,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.0,0.18690035796430174,0.24946736108109996,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],0.0,5.194599738451598,664.267398733155,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_T[AD],30.0,33.421472795590375,40.0,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,0.0,263.8652708004919,675.2283709106558,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],0.0,15.05116293322798,38.10329247035313,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],0.0,0.4464157866361277,57.154938705529695,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],0.0,0.08451225609280705,0.6287364537763394,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],0.0,0.0005383017583701536,0.943104680664509,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
bat_SOC,0.0,0.0,0.0,8760,0.0,10000.0,,,
bat_charge,0.0,0.10890410958904109,1.0,8760,0.0,1.0,,,
bat_discharge,-0.0,0.8910958904109589,1.0,8760,0.0,1.0,,,
heat_loss_biomass,0.0,6.124616994178503,8.174901620370354,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,18.991881823868756,20.420711724678092,28.002932940574443,8760,-10000.0,10000.0,°C,Interior temperature of the building,
penalty_t,0.0,1.7447972096359494e-05,0.0002642034685158151,8760,0.0,10000.0,,,
comfort_delta_T,-8.002932940574443,-0.42071172467808754,1.0081181761312443,8760,-10000.0,10000.0,,,
comfort_delta_T_abs,0.0,0.5285129352032736,8.002932940574443,8760,0.0,10000.0,,,
grid_export[Elec],0.0,3.9013054814053647,248.2505037996976,8760,0.0,10000.0,,,
grid_export[Gas],0.0,0.13884996185018447,25.986183445947916,8760,0.0,10000.0,,,
grid_import[Elec],0.0,1.0162268624356514,27.9859345564668,8760,0.0,10000.0,,,
grid_import[Gas],0.0,283.675345446213,738.0748874812833,8760,0.0,10000.0,,,
