,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],664.267398733155,0.0,10000.0,kW,Installed capacity of BOI,unique
unit_size[PV],1000.0,0.0,10000.0,kW,Installed capacity of PV,unique
unit_size[BAT],0.0,0.0,10000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],198.94820475847155,0.0,10000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,10000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],0.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],132.3865383605663,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],3.53579835,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],0.0,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],779.9998139870224,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.15284423556410912,0.0,10000.0,,,
grid_export_a[Elec],34.17543601711078,0.0,10000.0,,,
grid_export_a[Gas],1.216325665807616,0.0,10000.0,,,
grid_import_a[Elec],8.902147314936279,0.0,10000.0,,,
grid_import_a[Gas],2484.9960261088277,0.0,10000.0,,,
emissions,446.4851757091771,0.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,1.00911738506246,0.0,10000.0,MCHF,total CAPEX,
opex,0.19812918302297364,0.0,10000.0,MCHF/year,total annual opex,
totex,0.2628611658307717,0.0,10000.0,MCHF/year,total annualized expenses,
