,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],-2.6554516807664186e-07,222.971730269413,759.2710541376665,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],-5.954211444879496e-08,224.40945587468093,812.4510844622697,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],-2.950501867518243e-07,23.33691109133351,471.47091268945906,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,46.11265305753497,317.3486842759195,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],-2.5653650015089158e-08,4.472510154984627,168.9038579512777,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],-1.5819750842638314e-08,2.7580479289071866,104.15737906995459,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,0.0,0.0,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],-4.5006403535244135e-08,7.846509043832679,296.32255780925914,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],31.183420135137496,31.18342013532609,31.183420311239686,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],103.94473378379166,103.94473378442028,103.94473437079895,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.24946736108109996,0.24946736108260856,0.2494673624899175,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],-2.6554516807664186e-07,6.868705090557911,91.06777022596528,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_prod[CGT][Biogas],0.0,4.632958961546068,440.2874925543216,8760,0.0,10000.0,kW,Biogas produced by CGT,time
unit_cons[CGT][Biogas],0.0,4.632958961546069,31.18342043018768,8760,0.0,10000.0,kW,Biogas consumed by CGT,time
unit_cons[CGT][Elec],0.0,0.15443196538486897,1.0394473476729227,8760,0.0,10000.0,kW,Elec consumed by CGT,time
unit_SOC[BAT],0.0,0.0,0.0,8760,0.0,10000.0,kWh,State of charge of BAT,bool
unit_SOC[CGT],0.0,405.474675693982,1000.0,8760,0.0,10000.0,kWh,State of charge of CGT,bool
unit_T[AD],29.99999999991548,31.80529191751695,40.0,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,-1.4443134910280264e-07,218.86107310776228,744.2176899263777,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],-5.570510400946388e-09,12.445474926707927,42.68935123860683,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],-2.284805461462506e-08,0.5167357210731046,2.414777284594907,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],-8.284781019281237e-09,0.10869752689222535,5.132214095282231,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],-1.576615152007994e-08,0.07426184886017753,7.835659006058212,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
heat_loss_biomass,8.174901620370354,8.17490162041979,8.174901666536494,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,18.0,18.93504712698395,28.15466807280535,8760,-10000.0,10000.0,°C,Interior temperature of the building,time
penalty,2.2623151895265957e-08,6.63503990448656e-05,0.00026921275055388674,8760,0.0,10000.0,MCHF,Isntant Penalty for deviating from the comfort temperature,time
comfort_delta_T,-8.15466807280535,1.06495287301605,2.0,8760,-10000.0,10000.0,°C,Temerature difference between comfort and actual building temperature,time
comfort_delta_T_abs,0.0006852732423965335,2.009806294820194,8.15466807280535,8760,0.0,10000.0,°C,Absolute Temerature difference between comfort and actual building temperature,time
grid_export[Elec],0.0,13.330660455073655,304.7115359793076,8760,0.0,10000.0,,,
grid_export[Gas],0.0,0.0,0.0,8760,0.0,10000.0,,,
grid_import[Elec],0.0,52.98957921742335,226.81794869786478,8760,0.0,10000.0,,,
grid_import[Gas],-5.954211444879496e-08,224.40945587468096,812.4510844622698,8760,0.0,10000.0,,,
unused[Biomass],-5.870072925517889e-07,-6.286179613375867e-10,0.0,8760,0.0,10000.0,,,
unused[Biogas],-2.984279490192421e-13,1.5990077745919744e-10,1.7610189217975858e-07,8760,0.0,10000.0,,,
unused[Gas],0.0,0.0,0.0,8760,0.0,10000.0,,,
