,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],-2.8760993586729455e-11,217.40933522259195,628.0514525282402,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],0.0,235.44449658648898,697.8349472536322,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],-3.1956659540810506e-11,6.121431438613139,31.183420135169204,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],-3.846025908890591e-06,2.527064231717023e-09,6.704981819945631e-06,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],-1.9923595341519134e-06,2.782791898838594e-09,7.273046457421325e-06,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],0.0,18.046749017712425,23.290437693478328,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],0.0,11.42960771121787,14.750610539202944,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,5.077075758499707,38.81739615579721,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],-3.170796958329447e-11,25.000839271021004,31.183420135169452,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],19.169313509616323,31.164219508110445,31.183420135169452,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],63.89771169872108,103.88073169370148,103.94473378389817,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.1533545080769306,0.24931375606488343,0.24946736108135562,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],-2.8760993586729455e-11,6.889608598719206,628.0514525282402,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_prod[CGT][Biogas],-1.3216094885137867e-12,-4.8667310668500475e-18,1.2789769243681803e-12,8760,0.0,10000.0,kW,Biogas produced by CGT,time
unit_cons[CGT][Biogas],0.0,0.0,0.0,8760,0.0,10000.0,kW,Biogas consumed by CGT,time
unit_cons[CGT][Elec],0.0,0.0,0.0,8760,0.0,10000.0,kW,Elec consumed by CGT,time
unit_SOC[BAT],-7.067671407016398e-06,-7.923797754192541e-09,4.954421080991873e-06,8760,0.0,10000.0,kWh,State of charge of BAT,bool
unit_SOC[CGT],0.0,2.222473853861501e-15,2.2026824808563114e-12,8760,0.0,10000.0,kWh,State of charge of CGT,bool
unit_T[AD],29.999999999872188,31.938165291353023,40.000000000000156,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,-2.857554193269607e-11,221.9493343350906,642.8020630674432,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],-1.6497701866192833e-12,12.160553519283189,36.02589593852245,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],-2.4746552799289253e-12,0.4655178759827795,54.03884390778368,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],0.0,0.5707658498424907,0.8461153272965375,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],0.0,0.1272782749586447,1.2691729909448064,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
heat_loss_biomass,5.02533883044381,8.169868072532578,8.174901620378732,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,17.99999372437424,19.036995847527784,28.377931132693174,8760,-10000.0,10000.0,°C,Interior temperature of the building,time
penalty,2.262316123752021e-08,6.363866019341203e-05,0.0002765834076931909,8760,0.0,10000.0,MCHF,Isntant Penalty for deviating from the comfort temperature,time
comfort_delta_T,-8.377931132693174,0.9630041524722173,2.0000062756257613,8760,-10000.0,10000.0,°C,Temerature difference between comfort and actual building temperature,time
comfort_delta_T_abs,0.0006852735253808362,1.9276655708454276,8.377931132693174,8760,0.0,10000.0,°C,Absolute Temerature difference between comfort and actual building temperature,time
grid_export[Elec],-8.978775056789345e-09,0.5148937878791815,11.692736734704365,8760,0.0,10000.0,,,
grid_export[Gas],0.0,0.0,0.0,8760,0.0,10000.0,,,
grid_import[Elec],0.0,72.55764117488918,227.21413931493834,8760,0.0,10000.0,,,
grid_import[Gas],0.0,240.5215723449887,705.4689232742601,8760,0.0,10000.0,,,
unused[Biomass],-1.0651035609043902e-10,0.06400209009019756,40.04702208507058,8760,0.0,10000.0,,,
unused[Biogas],-3.176836571583408e-11,0.041948798476299794,11.853918537180888,8760,0.0,10000.0,,,
unused[Gas],0.0,0.0,0.0,8760,0.0,10000.0,,,
