,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],-1.5373054162992614e-07,223.0592618713024,759.2710541376665,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],-1.8900436771218665e-12,223.08488536150415,812.4510844622697,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],-1.7081171292214015e-07,24.758738939942983,590.3768363460571,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,46.11265305753497,317.3486842759195,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,10.90232443751778,242.7529891255704,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,12.502034812782975,313.3676981201684,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],-1.1340262062731199e-12,3.6921387100523337,252.7597446205955,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],-7.182165973063094e-13,2.3383545163664783,160.08117159304385,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],-1.8900436771218665e-12,-9.277611657105053e-15,1.8900436771218665e-12,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],-1.8900436771218665e-12,6.1535645167538995,421.26624103432584,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],0.0,31.13792096664486,31.18342161549507,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],0.0,103.79306988881616,103.94473871831691,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.0,0.2491033677331587,0.24946737292396057,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],-2.5231202016584575e-07,6.805838447282241,125.08323392180031,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_prod[CGT][Biogas],0.0,4.748365312853356,559.1934162109196,8760,0.0,10000.0,kW,Biogas produced by CGT,time
unit_cons[CGT][Biogas],0.0,4.748365312853358,31.18342030594921,8760,0.0,10000.0,kW,Biogas consumed by CGT,time
unit_cons[CGT][Elec],0.0,0.15827884376177861,1.0394473435316403,8760,0.0,10000.0,kW,Elec consumed by CGT,time
unit_SOC[BAT],0.0,122.8042047699549,1000.0,8760,0.0,10000.0,kWh,State of charge of BAT,bool
unit_SOC[CGT],0.0,3448.747284690408,10000.0,8760,0.0,10000.0,kWh,State of charge of CGT,bool
unit_T[AD],29.99999999986985,31.540906283489118,40.0,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,-1.65419835607139e-07,218.59177794038678,744.2176899263777,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],-8.81819550458469e-09,12.447211181507132,42.68935123860683,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],-2.1709447241803213e-08,0.5216627386544663,2.414777281187085,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],-9.488709499453497e-09,0.09151413056096544,9.182476382010181,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],-1.184574243666902e-08,0.06392565547115782,10.762419744705593,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
heat_loss_biomass,0.0,8.162973768177611,8.17490200845407,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,18.0,18.92615723855108,28.38791375964113,8760,-10000.0,10000.0,°C,Interior temperature of the building,time
penalty,2.2623151603456125e-08,6.629816910930637e-05,0.00027691296745386033,8760,0.0,10000.0,MCHF,Isntant Penalty for deviating from the comfort temperature,time
comfort_delta_T,-8.38791375964113,1.0738427614489192,2.0,8760,-10000.0,10000.0,°C,Temerature difference between comfort and actual building temperature,time
comfort_delta_T_abs,0.0006852732335573819,2.0082242085814355,8.38791375964113,8760,0.0,10000.0,°C,Absolute Temerature difference between comfort and actual building temperature,time
grid_export[Elec],0.0,1.6394306679197852,433.44689465101203,8760,0.0,10000.0,,,
grid_export[Gas],-1.8900436771218665e-12,-1.2945504637821003e-15,0.0,8760,0.0,10000.0,,,
grid_import[Elec],0.0,43.68191413549443,226.81794869786478,8760,0.0,10000.0,,,
grid_import[Gas],0.0,223.08488536150418,812.4510844622698,8760,0.0,10000.0,,,
unused[Biomass],-4.93452525063276e-06,0.15166389497549862,103.94473378379166,8760,0.0,10000.0,,,
unused[Biogas],-1.8900436771218665e-12,0.2256175099479676,31.183420209853665,8760,0.0,10000.0,,,
unused[Gas],0.0,0.0,0.0,8760,0.0,10000.0,,,
