,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],-3.580515639534098e-07,223.08410420742612,701.548587690312,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],-1.630217176066632e-08,223.09228079870635,748.3150106318759,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],-3.978350710593442e-07,24.778946098433817,585.1502088618813,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,46.11265305753497,317.3486842759195,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,10.939036720800408,195.2561634134781,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,12.435891727525991,305.75098331714554,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],-1.1340262062731199e-12,3.21469201650084,43.76807219944407,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],-7.182165973063094e-13,2.0359716104505323,27.719779059647916,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,0.0,0.0,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],-1.8900436771218665e-12,5.3578200275014005,72.94678699907345,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],0.0,31.165621379360797,31.1834201738325,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],0.0,103.88540459786931,103.94473391277499,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.0,0.2493249710348862,0.24946736139066,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],-4.5910564949736e-07,6.799039086955912,139.46793568226724,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_prod[CGT][Biogas],-1.0010809692317933e-07,4.7079675492311,553.9667887267439,8760,0.0,10000.0,kW,Biogas produced by CGT,time
unit_cons[CGT][Biogas],0.0,4.707967549231095,31.183420532972566,8760,0.0,10000.0,kW,Biogas consumed by CGT,time
unit_cons[CGT][Elec],0.0,0.15693225164103647,1.0394473510990856,8760,0.0,10000.0,kW,Elec consumed by CGT,time
unit_SOC[BAT],0.0,88.98854320629769,637.843226613421,8760,0.0,10000.0,kWh,State of charge of BAT,bool
unit_SOC[CGT],0.0,3664.154043697732,10000.0,8760,0.0,10000.0,kWh,State of charge of CGT,bool
unit_T[AD],29.999999999785615,31.469584943016844,40.0,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,-3.580515639534098e-07,218.32103673092092,701.548587690312,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],-2.0538330628302704e-08,12.448702849779352,40.2417927929434,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],-4.722207787323816e-09,0.521562722145887,12.000109188722824,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],-5.5154458438258775e-09,0.07449237379166103,1.5900446879339178,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],-3.9502398140308294e-08,0.06344064097651571,2.385067031900877,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
heat_loss_biomass,0.0,8.170235580634845,8.174901630514459,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,18.0,18.91721961382567,28.245064356560807,8760,-10000.0,10000.0,°C,Interior temperature of the building,time
penalty,2.262316123752021e-08,6.600388948057112e-05,0.00027219703292717093,8760,0.0,10000.0,MCHF,Isntant Penalty for deviating from the comfort temperature,time
comfort_delta_T,-8.245064356560807,1.0827803861743328,2.0,8760,-10000.0,10000.0,°C,Temerature difference between comfort and actual building temperature,time
comfort_delta_T_abs,0.0006852735253808362,1.9993102448557676,8.245064356560807,8760,0.0,10000.0,°C,Absolute Temerature difference between comfort and actual building temperature,time
grid_export[Elec],0.0,1.610090316160878,302.92770910144907,8760,0.0,10000.0,,,
grid_export[Gas],0.0,0.0,0.0,8760,0.0,10000.0,,,
grid_import[Elec],0.0,44.02604011992839,226.81794869786478,8760,0.0,10000.0,,,
grid_import[Gas],-1.6302171760666322e-08,223.09228079870635,748.3150106318759,8760,0.0,10000.0,,,
unused[Biomass],-1.289833306827859e-07,0.05932918592235842,103.94473378379166,8760,0.0,10000.0,,,
unused[Biogas],-1.8900436771218665e-12,1.0288552534255822,31.1834201738325,8760,0.0,10000.0,,,
unused[Gas],0.0,0.0,0.0,8760,0.0,10000.0,,,
