,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],724.5079536957352,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],2829.932979096838,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],979.3465848563304,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],48.01613584417962,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,100000.0,kW,Installed capacity of AD,unique
unit_size[CGT],10000.0,0.0,100000.0,kWh,Installed capacity of CGT,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],0.9999999999999978,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_install[CGT],1.0,0.0,1.0,-,CGT decision variable,bool
unit_capex[BOI],143.77200324849395,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],10000.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],1264.2796291231518,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],209.4765934909989,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
unit_capex[CGT],145.494,0.0,10000.0,kCHF,Investment cost of CGT,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty_a,0.5796783713136389,0.0,10000.0,MCHF,Sum of Penalty for deviating from the comfort temperature,unique
grid_export_a[Elec],8.218654697525922,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],382.98816672447987,0.0,10000.0,,,
grid_import_a[Gas],1954.206279636249,0.0,10000.0,,,
unused_a[Biomass],1.594012741015874,0.0,10000.0,,,
unused_a[Biogas],10.579547671469616,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
capex,11.856217460227516,-10000.0,10000.0,MCHF,total CAPEX,unique
opex,0.24759617000897302,0.0,10000.0,MCHF/year,total annual opex,unique
totex,1.0081384777341134,0.0,10000.0,MCHF/year,total annualized expenses,unique
emissions,403.6623308068374,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,unique
