,Minimum,Average,Maximum,Length,Lower Bound,Upper Bound,Units,Decription,Type
unit_prod[BOI][Heat],-1.950439809661475e-12,223.74552468429744,660.6494574600397,8760,0.0,10000.0,kW,Heat produced by BOI,time
unit_cons[BOI][Gas],-2.1671553440683056e-12,223.9947047233436,734.0549527333793,8760,0.0,10000.0,kW,Gas consumed by BOI,time
unit_cons[BOI][Biogas],-1.8900436771218665e-12,24.611433814764638,734.0549527333774,8760,0.0,10000.0,kW,Biogas consumed by BOI,time
unit_prod[PV][Elec],0.0,38.62750993544133,265.8357010942845,8760,0.0,10000.0,kW,Elec produced by PV,time
unit_prod[BAT][Elec],0.0,8.738114657840102,185.0654076807634,8760,0.0,10000.0,kW,Elec produced by BAT,time
unit_cons[BAT][Elec],0.0,9.917703811218956,253.19855279767256,8760,0.0,10000.0,kW,Elec consumed by BAT,time
unit_prod[SOFC][Elec],-1.1340262062731199e-12,3.9506735522503846,28.526795827832036,8760,0.0,10000.0,kW,Elec produced by SOFC,time
unit_prod[SOFC][Heat],-7.182165973063094e-13,2.5020932497585777,18.066970690960293,8760,0.0,10000.0,kW,Heat produced by SOFC,time
unit_cons[SOFC][Gas],0.0,0.01713579477168243,47.54465971305339,8760,0.0,10000.0,kW,Gas consumed by SOFC,time
unit_cons[SOFC][Biogas],-1.8900436771218665e-12,6.567320125645627,47.54465971305339,8760,0.0,10000.0,kW,Biogas consumed by SOFC,time
unit_prod[AD][Biogas],31.183420135137492,31.1834201351375,31.183420135137496,8760,0.0,10000.0,kW,Biogas produced by AD,time
unit_cons[AD][Biomass],103.94473378379165,103.94473378379166,103.94473378379166,8760,0.0,10000.0,kW,Biomass consumed by AD,time
unit_cons[AD][Elec],0.24946736108109993,0.2494673610810999,0.24946736108109996,8760,0.0,10000.0,kW,Elec consumed by AD,time
unit_cons[AD][Heat],0.0,6.836746615223904,319.9868485977537,8760,0.0,10000.0,kW,Heat consumed by AD,time
unit_prod[CGT][Biogas],0.0,4.187534641223464,702.8715325982399,8760,0.0,10000.0,kW,Biogas produced by CGT,time
unit_cons[CGT][Biogas],0.0,4.1875346412234595,31.183420135139386,8760,0.0,10000.0,kW,Biogas consumed by CGT,time
unit_cons[CGT][Elec],0.0,0.139584488040782,1.0394473378379796,8760,0.0,10000.0,kW,Elec consumed by CGT,time
unit_SOC[BAT],0.0,65.99278974093725,469.4716101787028,8760,0.0,10000.0,kWh,State of charge of BAT,bool
unit_SOC[CGT],0.0,2860.6228890875636,10000.0,8760,0.0,10000.0,kWh,State of charge of CGT,bool
unit_T[AD],30.0,31.640595949203593,40.00000000000001,8760,-10000.0,10000.0,°C,Temperature in the AD,time
build_cons_Heat,-1.0447877896169187e-07,219.41087131883222,678.716428151,8760,0.0,10000.0,kW,Heat consumed by the building,time
v[BOI][build],-5.9930465943609214e-09,12.483622419335216,37.89576237820502,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[BOI][AD],0.0,0.5260933514816999,27.53232922925228,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][build],-3.0738758893259403e-09,0.10208721654428396,1.0363463111449518,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
v[SOFC][AD],0.0,0.062154445239287204,1.5545194667174278,8760,0.0,10000.0,m^3/h,Volume flow of heating water,time
heat_loss_biomass,8.174901620370354,8.174901620370353,8.174901620370354,8760,0.0,10000.0,kW,Heat loss from biomass input,time
build_T,17.99999372437424,18.953196894782025,28.282513632345786,8760,-10000.0,10000.0,°C,Interior temperature of the building,time
penalty,6.166247126800135e-09,6.537870135986894e-05,0.0002734333582380621,8760,0.0,10000.0,MCHF,Isntant Penalty for deviating from the comfort temperature,time
comfort_delta_T,-8.282513632345786,1.046803105217978,2.0000062756257613,8760,-10000.0,10000.0,°C,Temerature difference between comfort and actual building temperature,time
comfort_delta_T_abs,0.00018678052384402122,1.9803728000397338,8.282513632345786,8760,0.0,10000.0,°C,Absolute Temerature difference between comfort and actual building temperature,time
grid_export[Elec],0.0,0.6486229345306516,223.4371557361406,8760,0.0,10000.0,,,
grid_export[Gas],0.0,0.0,0.0,8760,0.0,10000.0,,,
grid_import[Elec],0.0,49.4792630977415,226.9260675461881,8760,0.0,10000.0,,,
grid_import[Gas],0.0,224.0118405181153,750.4161923112933,8760,0.0,10000.0,,,
unused[Biomass],0.0,1.0544583978175002e-16,1.4210854715202004e-14,8760,0.0,10000.0,,,
unused[Biogas],-1.8900436771218665e-12,0.004666194727241217,20.832343196834394,8760,0.0,10000.0,,,
unused[Gas],0.0,0.0,0.0,8760,0.0,10000.0,,,
